Current Position Requirments,Current Position,Alternative 1,Alternative 2
"Proficiency in ASP.NET, C#, Java Script and HTML; Excellent knowledge of MS SQL; 2 years of relevant work experience.",Programmer,Software Developer,Web Developer
"University degree in the appropriate field of studies; At least 1 year of practical experience; Good knowledge of PHP; Good knowledge of OOP principles; Good knowledge of DHTML; Experience with working in Linux environment (Ubuntu, Suse) is preferable; Good analytical skills; Ability to work in a team; Good knowledge of English language, both communication and technical level.",PHP Developer,Web Developer,Software Developer
"BS/MS in CS/EE; 5+ years of experience in software development; Good communication skills; Self-motivation; Experience in designing and developing software products; Ability to lead the project development; previous experience of working on critical projects; Formal training or test certification is a plus; Strong C++/ STL programming skills, experience in widely accepted methodologies such as OOP, OOD, etc.;  User knowledge of Linux, MS Windows is desirable; Strong knowledge of data structures and algorithms, their complexities; Mathematical background with an understanding of Computational Geometry, Graph Theory, Optimization Problems; Design/implementation specification writing skills; Knowledge and experience in Physical Design Automation, or related domains is preferred; Experience in designing EDA databases, solving tasks related to fast data access, storing and processing; Experience in working with cross-functional product development teams is preferred; Knowledge of Technical English (both verbal and written); It is preferred that the candidates for the Senior Software Engineer position fulfilled military obligation or educational waivers of military obligation.",Software Engineer,Software Developer,Java Developer
"1-2 years of work experience; Experience in team working; Good knowledge of OOP principles; Good knowledge of MVC pattern; Ability to work on multiple tasks and to prioritize personal workload; Ability to handle the whole project and lead a small team; Very good knowledge of JSP/ Servlet, J2EE, JSF, Hibernate, Spring; Good knowledge of JavaScript, HTML, CSS; Knowledge of Struts, HTML5 is desirable; Database proficiency in SQLServer and Oracle is desirable.",Java Developer,Web Developer,PHP Developer
"Bachelors degree in Computer Science or related discipline; Excellent skills and recent experience with C/C++ & VC++; Good knowledge and understanding of advanced Microsoft Technologies (OOP, MFC, COM/ATL, .NET); Understanding of full project lifecycle: modelling, software design, coding, testing; Experience with .NET & C# is a plus, must be willing to learn these technologies as/if needed; Good mathematical background and knowledge in algorithms  development and optimization is a plus; Programming in UNIX (Linux in particular) and/or Mac platforms is plus; Strong problem-solving and communication skills and ability to be a successful member of a team; Basic English language skills and ability to develop those skills.",Software Developer,Software Engineer,Web Developer
"At least 5 years of experience in software development; Advanced knowledge of OO PHP and PHP frameworks; Strong knowledge of Core.js and jQuery; Excellent HTML and CSS skills; Knowledge of modern JS frameworks (such as AngularJS, KnockoutJS and BackboneJS) is a big plus; Experience of working with CMSs (Drupal and Wordpress) is a big plus; Knowledge of a second server side programming language (such as Java and .Net) is a plus; Highly motivated, passionate, adaptable person; eagerness to learn new technologies and methods; Fluency in the English language (reading, writing and speaking); Good communication skills; Good team player; ability to accept criticism; Fast learner; responsible personality.",PHP Developer,Web Developer,Software Engineer
"Bachelor's or MS degree; At least 2 years of work experience in Java and Web development; Experience with web development with Java EE platform; Knowledge of Java and OOP; Knowledge of Java technologies: JSF, EJB, Hibernate, Spring, JAX-WS, Axis; Knowledge of databases: good knowledge of SQL,  familiarity with MySQL and Oracle databases, database modeling skills; Knowledge of (X)HTML, CSS, JavaScript and XML; Ability to work on project with a development team; Problem solving skills; Strong interpersonal skills including effective writing and verbal communication skills.",Java Developer,Web Developer,Software Developer
"Good knowledge of Java, MySQL, Spring, Hibernate and J2EE; High level of quality assurance expertise working with industry standards tools (JUnit, Selenium, JMeter etc.); Knowledge of Groovy/ Grails, MongoDB, JBoss and EJB is highly desirable;  Work experience in agile methodology (Scrum).",Software Engineer,Java Developer,Software Developer
"Higher education (preferably in Media/ Graphical design); Knowledge of the following programs: Adobe Photoshop, Adobe Illustrator, Adobe Flash, Adobe InDesign and Corel Draw; Refined taste and creative thinking; Well organized, with strong sense of responsibility, disciplined and punctual; Hard working, energetic and enthusiastic; Ability to run several tasks simultaneously; Knowledge of HTML will be a plus; Good communication skills in English language.",Graphic Designer,Web Developer,Java Developer
"BS/ MS in Computer Science, Engineering or a related field; Work experience in iOS development; Good knowledge of Objective-C and OOP principles; Familiarity with Swift is desirable; Experience with third-party libraries and APIs; Solid understanding of the full mobile development life cycle.",iOS Developer,Software Engineer,Software Developer
"Excellent knowledge of PHP, relational databases, AJAX, MVC, XML, SOAP, RPCXML and JSON; Familiarity with OWASP, and other web-application security standards/ techniques; Knowledge of Unix-based operating systems is welcomed.",PHP Developer,Web Developer,Java Developer
"2+ years of experience in Database Development (MSSQL Server 2005 and above or Oracle 10g and above); Excellent knowledge in SQL and/or T-SQL and/or PL/SQL development; Strong knowledge of databases architecture; Strong knowledge of databases maintenance processes, backup and recovery strategies, performance tuning and optimization; Team player.",Database Admin/Dev,Software Developer,Software Engineer
"Bachelor's/ Masters degree in Computer Sciences or in a related field; At least 2 years of experience in developing Java web-based applications; Good Java and Spring/ Spring MVC development experience in a project setting; Experience with JSP, AJAX, JQuery and JavaScript; Experience with XML, HTML, CSS, cross-browser compatibility; Experience with relational database (MS SQL Server, MySQL); Experience in data model and object design; Good understanding of OOP principles; Good analytical skills; Good knowledge of English language on both communication and technical level; Excellent communication and teamwork skills; Ability to work independently.",Java Developer,Web Developer,PHP Developer
"Bachelor's degree in Computer Sciences or a related discipline; At least 3 years of experience in an application development position; At least 2 years of professional work experience as a Java Developer in J2EE; Familiarity with the industry technology and frameworks encompassing SQL, JSON, REST; Agile software development experience is a plus; Advanced knowledge of OOP and OOD; Experience with web frameworks such as Spring and JSP/ Servlets; Excellent communication, interpersonal, problem-solving and relationship management skills; Ability to work on multiple tasks and prioritize personal workload; Detail-oriented personality and self-starter; Experience with JBoss, Selenium, Oracle, MySQL, Maven, Git, GitHub, JPA, ORM including Hibernate/ EclipseLink, JMS, ActiveMQ, continuous integration/ delivery will be a plus; Experience in the team-centric software development, high performance software delivery in a team will be a plus.",Java Developer,Software Engineer,Web Developer
"Knowledge of C++, Java Script, Max scripting, C#, ASP; Skills and experience in this field; Ability to work in a team.",Software Developer,Web Developer,Software Engineer
"Solid understanding of relational databases, database design, query analysis and optimization, preferably in the context of Oracle or MySql; Experience in developing stored procedures for Oracle or MySql; Solid scripting experience, preferably in Perl; Experience in creating Web pages, interacting with the database (reports and data manipulation tools); Knowledge of Java or .NET is a plus; Understanding of financial market data is a plus.",Database Admin/Dev,Java Developer,Software Engineer
"University degree in the relevant field of studies; At least 2 years of practical experience; Good knowledge of PHP4, PHP5; Good knowledge of OOP principles; Good knowledge of DHTML; Experience working in Linux environment (Ubuntu, Suse) is preferable; Good analytical skills; Ability to work in a team; Good knowledge of English language on both communication and technical levels.",PHP Developer,Web Developer,Software Developer
"MS in Computer Science, Physics, Mathematics or in a  related, PhD is preferred; At least 3 years of experience in designing and developing software products; Strong C++, STL programming skills, good knowledge of OOD; Familiarity with design patterns; Knowledge of Linux; Previous work experience on critical projects; Strong knowledge of data structures and algorithms, their complexities; Familiarity with Computational Geometry, Graph Theory, Optimization Problems, Numerical Methods, Modeling; Ability to write comprehensive functional/ implementation specifications; Previous experience in designing efficient algorithms for IC layout processing is highly desired; Knowledge and experience in Physical Design Automation, or in related domains is preferred; Excellent communication skills; ability to effectively interact with cross-functional teams (R&D, Application, Marketing); Excellent knowledge of English language; both verbal and written; Fast learning skills; Formal training or test certification is a plus; Other achievements  participation/ winning in Mathematics and Programming Olympiads/ competitions is a big plus; Fulfillment of military obligation or educational waivers of military obligation is preferred.",Software Engineer,Software Developer,Java Developer
Bachelor in Computer Sciences;  At least 5-6 years of work experience in .Net Framework;  Proficiency in OOP/ OOD and good knowledge of Design Patterns; Good knowledge of SQL Server;  Knowledge of and experienced in LINQ/ Entity Framework; Good knowledge of WPF/ MVVM; Good understanding of Web services and practical working knowledge of WCF; Knowledge of ASP.NET MVC is an advantage; Good of technical English language;  Good communication skills;  Good team player with the ability to accept criticism.,.NET Developer,Software Developer,Web Developer
"University degree in Computer Sciences, Engineering and Business Administration, Mathematics or other closely related field of specialization; At least 5 years of professional experience in system hardware/ software maintenance within a multi-user network environment, including extensive knowledge of PC hardware, Microsoft operating systems and PC application packages; Good knowledge of development trends and relevant strategies in project related fields; Good communication skills, teamwork approach, diligence and proven planning capacities; Fluency in Armenian language; Good knowledge of English language; Knowledge of Russian language is an asset.",IT Specialist,Software Engineer,Software Developer
"Minimum 6 years of experience in network and IT systems administration; Experience with server installation, router, switch firewall configuration, VPN, remote desktop and other remote management tools, LAN and WAN design and administration, Internet connectivity, disaster recovery, antivirus software installation; Experience in administrative process analysis, procurement and installation of IT equipment, systems maintenance and improvement, and staff training; Good organizational, communication and interpersonal skills; Previous work experience on international donor projects is preferred; Good command of written and spoken English and Armenian languages.",IT Specialist,Software Engineer,Web Developer
"Bachelor's or MS degree and at least 3 years of experience in testing and/ or coding in Java, C and C++;  At least 1 year of work experience in a Senior QA position; Strong experience in and/ or knowledge of software requirements management, design, development, verification and validation;  Experience in managing the test team in daily QA activities and work efforts; Experience in test automation and setting up unit tests; Strong understanding of relational databases (particularly MS SQL Server); Knowledge of both Windows & UNIX environments and scripting skills (including Perl, bat and shell); Experience in software performance analysis; Strong research and documentation skills; Experience in creating and ensuring quality team deliverables, including analysis of requirements, test plans, test scripts, test executions, summary reports, and final recommendations on the tested product; Experience in configuring test environment Learn and apply automated testing tools to system components testing; Experience in defining, tracking and reporting quality assurance metrics such as defect densities and find/ fix ratios; Fluency in English language.",Software QA Engineer,Software Engineer,Java Developer
Higher education in a relevant field; Proficiency in Visual Basic 6.0 and Microsoft SQL Server 2000;  Minimum 2 years of professional work experience; Good knowledge of English language;  Good organizational and analytical skills; Innovative and conceptual thinking.,Programmer,Software Developer,IT Specialist
"Experience with XML, HTML, CSS, Adobe Photoshop, Windows operating systems and other Web related services; Basic knowledge of Java Script and Macromedia Flash; Strong problem-solving skills; Good knowledge of technical English language. Good knowledge of Russian and Armenian languages (written and oral); Good knowledge of Internet and ability to conduct searches if needed; Knowledge of ASP/ MsSQL or PHP/ MySQL is a plus; Good communication skills.",Web Developer,PHP Developer,Software Engineer
"Excellent knowledge of English language on both communication and technical levels; BS in Computer Science or a related field; At least 2 years of experience as a Senior QA Engineer with solid progression in responsibility; Experience with testing high performance systems is a plus; Working knowledge of Linux/ Unix, Solaris and Windows environments is a plus; Advanced knowledge of system development lifecycle, methodology and testing knowledge; Solid knowledge of the quality assurance techniques, testing concepts, methodologies and tools; Expert ability to apply quality assurance knowledge to in-depth testing and test plans; Excellent analytical skills with the ability to investigate and research multiple sources; Excellent interpersonal and oral/ written communications skills; Advanced knowledge of Trading Systems and Trading concepts, particularly within the Equities realm, is considered a very important asset; Expert ability to apply concepts of unit, system, regression, product, integration and acceptance testing; Knowledge of testing tools: broad experience using different testing tools (jmeter, jprofiler, selenium, etc.); ability to adapt and learn quickly with any other testing tool; Good understanding of automation testing approaches.",Software QA Engineer,Software Engineer,Java Developer
"BS in Computer Science or in any related technical field; At least 2 years of experience in Software Quality Assurance; Broad experience using load testing tools (JMeter/ LoadRunner/ VS Web Performance and Load Test environment); Good knowledge of software quality assurance and defining quality strategies for projects; Advanced knowledge of system development lifecycle, methodology and testing knowledge; Solid understanding of QA processes and methodology; Good English language writing and reading skills; Strong analytical, problem-solving and communication skills; Expert ability to apply concepts of system, regression, product, integration and acceptance testing; Ability to apply unit testing is a plus; Experience of automation testing tools (Selenium, Coded UI etc.) and frameworks (WebDriver, NUnit, MSTest etc.) will be a plus; Experience with Visual Studio 2012 and C# is an asset.",Software QA Engineer,Software Engineer,Software Developer
"BS in Computer Science or any related technical field;  At least 2 years of work experience as a Software Developer;  Good knowledge of OOP;  Good knowledge of C#, ASP.NET MVC, ADO.Net and web services; Knowledge of (X) HTML, CSS, JavaScript and XML;  Knowledge of WCF,WPF is a big advantage;  Knowledge of MS SQL server, developing queries and stored procedures; Fluency in Armenian language; good knowledge of Russian and English languages;  Problem-solving skills;  Familiarity with software development process.",Software Developer,.NET Developer,Web Developer
"Bachelors or higher degree in Computer Sciences or a related discipline with at least 2 years of work experience in software development; 2 years of work experience in .Net Framework ASP.Net/C#; Knowledge of other languages (C++, VB, Java) and web technologies is a plus; Good knowledge of Oracle, Sybase, MS SQL Server or DB2; Work experience with client/ server applications; Knowledge of Unix programming is desired; Good English language skills.",Web Developer,Software Developer,Java Developer
"Knowledge of C/C++, Java/J2EE, JSP, DHTML, Struts, Tomcat, SQL, Web Services; RDBMS including data modeling; Experience with JSF, Corba, XML/XSL, Oracle, Perl  is a plus; XML and SOAP (Web Services) interfaces; Perl 5 including HTML::Mason, SOAP::Lite, and DBI; RDBMS (Oracle a plus) including data modeling is a  plus; Familiarity with Apache web proxy configuration is  plus; Understanding of Internet protocols, HTTP and  Streaming content delivery, data processing, Internet distributed systems experience a plus; Unix; Fluent knowledge of English and Russian languages,  knowledge of one more foreign language is a plus.",Software Engineer,Java Developer,Web Developer
"University degree in the appropriate fields of study; At least 4 years of practical experience in Web development; Good knowledge of DHTML, advanced knowledge of Javascript and its libraries (Angular.js, Backbone.js, etc.); Good knowledge of PHP; Good knowledge of OOP principles; Knowledge of Java is an advantage; Working experience  in Linux environment (Ubuntu, Suse) is preferable; Good analytical skills; Ability to work in a team; Good knowledge of English language both communication and technical level.",Web Developer,PHP Developer,Java Developer
"At least 1 year of professional work experience in ASP/ ASP.NET (VisualBasic.NET) and .NET Framework; Knowledge of MS SQL Server, web-services, HTML, CSS, XML, JavaScript and VBScript; Good knowledge of OOP; Knowledge of C++, knowledge of SOAP and JSON is a plus; Baccalaureate degree; higher education in CS or in a related field is a plus; Fluency in Russian language;  Knowledge of technical English language.",Web Developer,Software Developer,.NET Developer
"At least 2 years of work experience in development; Knowledge of C#, ASP.NET 2.0, Ajax and Web Services Knowledge of SQL and ADO.NET; Knowledge of .NET Remoting technology; Knowledge of HTML, CSS and JavaScript; Willingness to participate in creation of web and standalone applications; Basic knowledge of English language; Good knowledge of technical English language.",.NET Developer,Web Developer,Software Developer
"At least 3 years of work experience as a Software Developer; Excellent knowledge of Java and OOP; Excellent knowledge of Web development; Web Frameworks: Struts, JSP/ Servlet and Java Server Faces and Wicket; Persistence layer: Hibernate and IBATIS; Integration technologies: Spring Framework; Databases: base knowledge with MySQL and Oracle databases; Excellent knowledge of SQL language (writing queries, creating databases, dumping, and importing without a graphical user interface); Database modeling skills; Good knowledge of (X)HTML, CSS, JavaScript and XML; Optional technologies: Velocity, Jasper Reports and Facelets; Servers: Tomcat and Apache2; OS: Linux Ubuntu; Good communication skills; Good English language skills; Ability to work on project with a development team; Ability to lead a small development team is a plus; Ability/ willingness for business trips is a plus; Problem solving skills.",Java Developer,Software Developer,Web Developer
"Artistic ability to draw, sketch and design creative materials; At least 2 years of work experience;  Background of Academic art;  Proficiency in Adobe Photoshop, Adobe Illustrator and InDesign; Experience in Mac platforms; Willingness to work in a very dynamic environment; Availability of a portfolio.",Graphic Designer,Web Developer,Software Developer
"BS in Computer Science, Maths or a related discipline; At least 3 years of experience as a Senior Software Engineer/ Developer; Ability to work with team managers to plan and prioritize team activities; Good documentation skills; Ability to manage and realize problem solutions within a specified time range; Creativity and analytic thinking; Ability to learn quickly; Ability to work under pressure; Strong maths background; Ability to easily design databases, design solid web architecture and keep up with other experts; Experience on web applications; Solid understanding of object-oriented programming (OOP); Back-end and front-end skills; Knowledge of C++, HTML, CSS, Symfony PHP framework; Knowledge of SQL database, big data; Knowledge of HTML 5.0 Canvas and Java script is a plus; Good understanding of the overall business goal of the project and ability to translate that into engineering requirements; Strong experience with multiple IT technologies.",Software Engineer,PHP Developer,Java Developer
"University degree in Information Technology or a related area; At least 3 years of work experience in the field of Information Technology; Excellent technical knowledge in operating and database management systems design and administration; Extensive knowledge of IT hardware, software, operations and networks; Good knowledge of English, Russian and Armenian languages; Analytical and practical approach towards problem solving; Ability to work under pressure.",IT Specialist,Software Developer,Database Admin/Dev
"University degree in Computer Science, Information Technology or other related field; Ability to understand and use object-oriented programming, including the design patterns; Understanding of the database theory; Strong knowledge of PL/ SQL and SQL DBMS Oracle 9i, 10g, 11g; Confidence in designing relational databases; Confidence in creating server objects; Confidence in creating queries, understanding of the mechanisms of optimization and tracing; Understanding of the client-server architecture; Thorough knowledge of one of the following technologies and some experience with another one:  a) Borland (Embarcadero) Delphi: Knowledge of Borland Pascal programming language, VCL base classes, knowledge of development of Win32/ 64 GUI projects, console applications, DLL projects, BPL projects; Understanding of the mechanism of structured exception handling; Ability to successfully work with Borland/ Embarcadero Delphi development environment; b) Microsoft NET Framework: Knowledge of C#, ASP.NET Framework (Web Forms) programming language, and confident development of Win Forms projects, Class Library projects, ASP.NET web sites; Understanding of web applications functioning architecture; Ability to successfully work with Microsoft Visual Studio development environment; Ability to work in a team, accept and follow existing development standards; Ability to write efficient, clear and simple code understandable to others without further explanation; Ability and willingness to learn new technology, passion, sociability; Knowledge of English language, sufficient for reading the technical documentation; Good knowledge of Russian language, sufficient for oral and written communication.",Software Developer,Java Developer,Software Engineer
"At least 5 years of experience in software development, primarily in Java; B.S. or M.S. (preferred) in Computer Science or related fields. Exposure or education in the financial sector is a strong asset; High level proficiency in all aspects of Java EE, Windows Server 2008, XML; Java EE certification is preferred; Deep understanding of FIX 4.2 protocol, Direct Market Access, Market data feed handlers, algorithms for automated trading strategies, all aspects of software applicability for HFT trading; Strong ability to efficiently work as a team member in cooperation with colleagues, clients, managers and vendors; Investment decision making acumen, excellent interpersonal and time management skills; Solid understanding of capital markets (Equities, Currencies, Options, and Futures); Good to have  CFA, MBA, previous experience of building standalone automated trading systems/ platforms.",Java Developer,Software Engineer,Software Developer
